2	1
4	1
6	2
8	2
10	3
12	5
14	7
16	10
18	15
20	21
22	31
24	45
26	65
28	93
30	134
32	191
34	272
36	384
38	537
40	740
42	1001
44	1324
46	1701
48	2114
50	2533
52	2923
54	3251
56	3495
58	3644
60	3703
62	3682
64	3596
66	3459
68	3287
70	3092
72	2884
74	2670
76	2457
78	2249
80	2049
82	1860
84	1682
86	1517
88	1364
90	1224
92	1096
94	979
96	874
98	778
100	692
102	615
104	546
106	484
108	428
110	379
112	335
114	296
116	261
118	230
120	203
122	179
124	158
126	139
128	122
130	108
132	95
134	83
136	73
138	64
140	56
142	50
144	43
146	38
148	34
150	29
152	26
154	23
156	20
158	17
160	15
162	13
164	12
166	10
168	9
170	8
172	7
174	6
176	5
178	5
180	4
182	4
184	3
186	3
188	2
190	2
192	2
194	2
196	1
198	1
200	1
202	1
204	1
206	1
208	1
210	1
212	0
214	0
216	0
218	0
220	0
222	0
224	0
226	0
228	0
230	0
232	0
234	0
236	0
238	0
240	0
242	0
244	0
246	0
248	0
250	0
252	0
254	0
256	0
258	0
260	0
262	0
264	0
266	0
268	0
270	0
272	0
274	0
276	0
278	0
280	0
282	0
284	0
286	0
288	0
290	0
292	0
294	0
296	0
298	0
300	0
